Temps (s),CH1 (V),CH2 (V),CH3 (V)
3.157262905162065e-08,50.0,-2.0,-52.0
3.169267707082833e-08,49.0,-3.0,-52.0
3.181272509003601e-08,49.0,-3.0,-52.0
3.1932773109243695e-08,49.0,-3.0,-52.0
3.205282112845138e-08,49.0,-3.0,-52.0
3.2172869147659066e-08,49.0,-3.0,-52.0
3.229291716686675e-08,49.0,-3.0,-52.0
3.241296518607443e-08,48.0,-4.0,-52.0
3.253301320528211e-08,48.0,-4.0,-53.0
3.2653061224489795e-08,49.0,-3.0,-53.0
3.277310924369748e-08,49.0,-3.0,-53.0
3.289315726290516e-08,49.0,-3.0,-53.0
3.301320528211284e-08,49.0,-3.0,-53.0
3.3133253301320524e-08,49.0,-3.0,-53.0
3.325330132052821e-08,49.0,-3.0,-53.0
3.3373349339735895e-08,50.0,-2.0,-53.0
3.349339735894358e-08,50.0,-3.0,-53.0
3.361344537815126e-08,50.0,-3.0,-52.0
3.373349339735894e-08,50.0,-3.0,-52.0
3.3853541416566624e-08,50.0,-3.0,-52.0
3.3973589435774306e-08,50.0,-3.0,-52.0
3.4093637454981995e-08,49.0,-3.0,-52.0
3.421368547418968e-08,49.0,-4.0,-52.0
3.433373349339736e-08,49.0,-4.0,-52.0
3.445378151260504e-08,49.0,-3.0,-52.0
3.4573829531812724e-08,49.0,-3.0,-52.0
3.4693877551020406e-08,49.0,-3.0,-52.0
3.481392557022809e-08,48.0,-3.0,-52.0
3.493397358943577e-08,48.0,-3.0,-52.0
3.505402160864345e-08,49.0,-3.0,-52.0
3.517406962785114e-08,49.0,-2.0,-52.0
3.5294117647058824e-08,49.0,-2.0,-52.0
3.5414165666266506e-08,49.0,-2.0,-51.0
3.553421368547419e-08,49.0,-2.0,-51.0
3.565426170468187e-08,49.0,-2.0,-51.0
3.577430972388955e-08,50.0,-1.0,-51.0
3.5894357743097235e-08,50.0,-1.0,-51.0
3.6014405762304924e-08,50.0,-1.0,-51.0
3.6134453781512606e-08,50.0,-1.0,-52.0
3.625450180072029e-08,50.0,-1.0,-52.0
3.637454981992797e-08,50.0,-1.0,-52.0
3.649459783913565e-08,50.0,-2.0,-52.0
3.6614645858343335e-08,50.0,-2.0,-52.0
3.673469387755102e-08,50.0,-2.0,-52.0
3.68547418967587e-08,50.0,-2.0,-52.0
3.697478991596638e-08,50.0,-2.0,-52.0
3.709483793517407e-08,49.0,-2.0,-52.0
3.721488595438175e-08,49.0,-2.0,-52.0
3.7334933973589435e-08,49.0,-2.0,-53.0
3.745498199279712e-08,49.0,-2.0,-53.0
3.75750300120048e-08,49.0,-1.0,-53.0
3.769507803121248e-08,49.0,-1.0,-53.0
3.7815126050420164e-08,48.0,-1.0,-53.0
3.793517406962785e-08,48.0,-1.0,-53.0
3.8055222088835535e-08,49.0,-1.0,-54.0
3.817527010804322e-08,49.0,-1.0,-54.0
3.82953181272509e-08,49.0,-2.0,-53.0
3.841536614645858e-08,49.0,-2.0,-53.0
3.8535414165666264e-08,49.0,-2.0,-53.0
3.8655462184873946e-08,49.0,-2.0,-53.0
3.877551020408163e-08,50.0,-2.0,-53.0
3.889555822328931e-08,50.0,-2.0,-53.0
3.9015606242497e-08,50.0,-2.0,-52.0
3.913565426170468e-08,50.0,-2.0,-52.0
3.9255702280912364e-08,50.0,-2.0,-52.0
3.9375750300120047e-08,50.0,-2.0,-52.0
3.949579831932773e-08,50.0,-2.0,-52.0
3.961584633853541e-08,50.0,-2.0,-52.0
3.973589435774309e-08,50.0,-2.0,-52.0
3.985594237695078e-08,50.0,-2.0,-52.0
3.9975990396158464e-08,50.0,-2.0,-52.0
4.0096038415366147e-08,50.0,-2.0,-52.0
4.021608643457383e-08,50.0,-2.0,-52.0
4.033613445378151e-08,50.0,-2.0,-53.0
4.0456182472989193e-08,50.0,-2.0,-53.0
4.0576230492196876e-08,51.0,-1.0,-53.0
4.069627851140456e-08,51.0,-1.0,-53.0
4.081632653061224e-08,51.0,-1.0,-53.0
4.093637454981993e-08,51.0,-1.0,-53.0
4.105642256902761e-08,51.0,-1.0,-54.0
4.1176470588235293e-08,51.0,-1.0,-54.0
4.1296518607442976e-08,50.0,-1.0,-53.0
4.141656662665066e-08,50.0,-1.0,-53.0
4.153661464585834e-08,50.0,-1.0,-53.0
4.165666266506602e-08,50.0,-1.0,-53.0
4.177671068427371e-08,50.0,-1.0,-53.0
4.1896758703481393e-08,49.0,-2.0,-53.0
4.2016806722689076e-08,49.0,-2.0,-52.0
4.213685474189676e-08,49.0,-2.0,-53.0
4.225690276110444e-08,49.0,-2.0,-53.0
4.237695078031212e-08,49.0,-2.0,-53.0
4.2496998799519805e-08,49.0,-2.0,-53.0
4.261704681872749e-08,49.0,-2.0,-53.0
4.273709483793517e-08,49.0,-2.0,-53.0
4.285714285714286e-08,49.0,-2.0,-53.0
4.297719087635054e-08,50.0,-1.0,-53.0
4.309723889555822e-08,50.0,-1.0,-53.0
4.3217286914765905e-08,50.0,-1.0,-52.0
4.333733493397359e-08,50.0,-1.0,-52.0
4.345738295318127e-08,50.0,-1.0,-52.0
4.357743097238895e-08,50.0,-1.0,-52.0
4.369747899159664e-08,50.0,-2.0,-52.0
4.381752701080432e-08,50.0,-2.0,-52.0
4.3937575030012005e-08,50.0,-2.0,-52.0
4.405762304921969e-08,50.0,-2.0,-52.0
4.417767106842737e-08,50.0,-2.0,-52.0
4.429771908763505e-08,49.0,-2.0,-52.0
4.4417767106842734e-08,49.0,-2.0,-52.0
4.4537815126050416e-08,48.0,-2.0,-52.0
4.46578631452581e-08,48.0,-2.0,-52.0
4.477791116446579e-08,48.0,-2.0,-52.0
4.489795918367347e-08,47.0,-2.0,-52.0
4.501800720288115e-08,47.0,-2.0,-52.0
4.5138055222088834e-08,47.0,-2.0,-52.0
4.5258103241296516e-08,47.0,-2.0,-52.0
4.53781512605042e-08,48.0,-2.0,-52.0
4.549819927971188e-08,48.0,-2.0,-52.0
4.561824729891957e-08,48.0,-2.0,-52.0
4.573829531812725e-08,48.0,-2.0,-52.0
4.5858343337334934e-08,48.0,-2.0,-52.0
4.5978391356542616e-08,49.0,-2.0,-52.0
4.60984393757503e-08,49.0,-2.0,-52.0
4.621848739495798e-08,49.0,-2.0,-52.0
4.633853541416566e-08,49.0,-2.0,-52.0
4.6458583433373345e-08,49.0,-2.0,-52.0
4.657863145258103e-08,49.0,-1.0,-52.0
4.6698679471788716e-08,49.0,-1.0,-52.0
4.68187274909964e-08,49.0,-1.0,-52.0
4.693877551020408e-08,49.0,-1.0,-52.0
4.705882352941176e-08,49.0,-1.0,-52.0
4.7178871548619445e-08,50.0,-1.0,-52.0
4.729891956782713e-08,50.0,-2.0,-52.0
4.741896758703481e-08,50.0,-2.0,-52.0
4.75390156062425e-08,50.0,-2.0,-52.0
4.765906362545018e-08,50.0,-2.0,-52.0
4.777911164465786e-08,50.0,-2.0,-52.0
4.7899159663865545e-08,49.0,-2.0,-52.0
4.801920768307323e-08,49.0,-2.0,-52.0
4.813925570228091e-08,49.0,-2.0,-52.0
4.825930372148859e-08,49.0,-2.0,-52.0
4.8379351740696274e-08,49.0,-1.0,-52.0
4.8499399759903956e-08,49.0,-2.0,-52.0
4.8619447779111645e-08,49.0,-2.0,-52.0
4.873949579831933e-08,49.0,-2.0,-52.0
4.885954381752701e-08,49.0,-2.0,-52.0
4.897959183673469e-08,50.0,-2.0,-52.0
4.9099639855942374e-08,49.0,-2.0,-52.0
4.9219687875150057e-08,49.0,-2.0,-52.0
4.933973589435774e-08,49.0,-2.0,-53.0
4.945978391356543e-08,49.0,-2.0,-53.0
4.957983193277311e-08,49.0,-2.0,-53.0
4.969987995198079e-08,49.0,-2.0,-53.0
4.9819927971188474e-08,49.0,-2.0,-53.0
4.9939975990396157e-08,49.0,-2.0,-53.0
5.006002400960384e-08,49.0,-2.0,-53.0
5.018007202881152e-08,49.0,-2.0,-53.0
5.0300120048019203e-08,49.0,-2.0,-53.0
5.0420168067226886e-08,49.0,-2.0,-52.0
5.0540216086434574e-08,49.0,-2.0,-52.0
5.0660264105642257e-08,49.0,-2.0,-52.0
5.078031212484994e-08,49.0,-2.0,-52.0
5.090036014405762e-08,49.0,-2.0,-52.0
5.1020408163265303e-08,49.0,-2.0,-52.0
5.1140456182472986e-08,49.0,-2.0,-52.0
5.126050420168067e-08,49.0,-2.0,-52.0
5.138055222088836e-08,50.0,-1.0,-52.0
5.150060024009604e-08,50.0,-1.0,-52.0
5.162064825930372e-08,50.0,-1.0,-51.0
5.1740696278511403e-08,50.0,-1.0,-51.0
