Temps (s),CH1 (V),CH3 (V)
6.290516206482593e-08,2.0,5.0
6.31452581032413e-08,2.0,5.0
6.338535414165666e-08,2.0,6.0
6.362545018007202e-08,2.0,5.0
6.386554621848739e-08,2.0,5.0
6.410564225690275e-08,2.0,4.0
6.434573829531813e-08,3.0,4.0
6.45858343337335e-08,3.0,4.0
6.482593037214886e-08,3.0,4.0
6.506602641056422e-08,3.0,4.0
6.530612244897959e-08,3.0,3.0
6.554621848739495e-08,2.0,3.0
6.578631452581032e-08,2.0,3.0
6.602641056422568e-08,2.0,2.0
6.626650660264105e-08,2.0,3.0
6.650660264105643e-08,2.0,3.0
6.674669867947179e-08,2.0,3.0
6.698679471788715e-08,2.0,4.0
6.722689075630252e-08,2.0,4.0
6.746698679471788e-08,1.0,5.0
6.770708283313325e-08,2.0,5.0
6.794717887154861e-08,2.0,5.0
6.818727490996399e-08,3.0,4.0
6.842737094837935e-08,4.0,3.0
6.866746698679472e-08,4.0,3.0
6.890756302521008e-08,4.0,2.0
6.914765906362545e-08,3.0,2.0
6.938775510204081e-08,2.0,1.0
6.962785114045618e-08,2.0,1.0
6.986794717887154e-08,1.0,2.0
7.01080432172869e-08,2.0,2.0
7.034813925570228e-08,2.0,3.0
7.058823529411765e-08,2.0,4.0
7.082833133253301e-08,2.0,4.0
7.106842737094838e-08,2.0,4.0
7.130852340936374e-08,2.0,4.0
7.15486194477791e-08,2.0,4.0
7.178871548619447e-08,2.0,4.0
7.202881152460985e-08,3.0,4.0
7.226890756302521e-08,3.0,4.0
7.250900360144058e-08,3.0,4.0
7.274909963985594e-08,3.0,4.0
7.29891956782713e-08,3.0,3.0
7.322929171668667e-08,3.0,3.0
7.346938775510203e-08,3.0,3.0
7.37094837935174e-08,3.0,3.0
7.394957983193276e-08,3.0,3.0
7.418967587034814e-08,3.0,4.0
7.44297719087635e-08,3.0,5.0
7.466986794717887e-08,3.0,6.0
7.490996398559423e-08,3.0,5.0
7.51500600240096e-08,3.0,5.0
7.539015606242496e-08,3.0,5.0
7.563025210084033e-08,3.0,5.0
7.58703481392557e-08,3.0,6.0
7.611044417767107e-08,3.0,5.0
7.635054021608644e-08,2.0,5.0
7.65906362545018e-08,2.0,4.0
7.683073229291716e-08,2.0,4.0
7.707082833133253e-08,2.0,4.0
7.731092436974789e-08,2.0,4.0
7.755102040816326e-08,3.0,4.0
7.779111644657862e-08,3.0,4.0
7.8031212484994e-08,4.0,4.0
7.827130852340936e-08,3.0,4.0
7.851140456182473e-08,3.0,4.0
7.875150060024009e-08,2.0,4.0
7.899159663865546e-08,2.0,5.0
7.923169267707082e-08,2.0,5.0
7.947178871548619e-08,2.0,6.0
7.971188475390156e-08,2.0,5.0
7.995198079231693e-08,3.0,5.0
8.019207683073229e-08,3.0,4.0
8.043217286914766e-08,3.0,4.0
8.067226890756302e-08,3.0,4.0
8.091236494597839e-08,3.0,3.0
8.115246098439375e-08,3.0,3.0
8.139255702280912e-08,3.0,3.0
8.163265306122448e-08,3.0,3.0
8.187274909963986e-08,3.0,4.0
8.211284513805522e-08,3.0,4.0
8.235294117647059e-08,3.0,4.0
8.259303721488595e-08,3.0,5.0
8.283313325330132e-08,3.0,5.0
8.307322929171668e-08,3.0,5.0
8.331332533013204e-08,3.0,4.0
8.355342136854742e-08,3.0,4.0
8.379351740696279e-08,3.0,4.0
8.403361344537815e-08,3.0,4.0
8.427370948379352e-08,3.0,5.0
8.451380552220888e-08,3.0,4.0
8.475390156062424e-08,3.0,4.0
8.499399759903961e-08,3.0,3.0
8.523409363745497e-08,3.0,3.0
8.547418967587034e-08,2.0,3.0
8.571428571428572e-08,2.0,3.0
8.595438175270108e-08,2.0,4.0
8.619447779111645e-08,2.0,5.0
8.643457382953181e-08,3.0,5.0
8.667466986794717e-08,2.0,5.0
8.691476590636254e-08,2.0,5.0
8.71548619447779e-08,1.0,5.0
8.739495798319328e-08,1.0,4.0
8.763505402160865e-08,2.0,4.0
8.787515006002401e-08,2.0,4.0
8.811524609843937e-08,3.0,4.0
8.835534213685474e-08,4.0,4.0
8.85954381752701e-08,4.0,5.0
8.883553421368547e-08,4.0,5.0
8.907563025210083e-08,3.0,6.0
8.93157262905162e-08,3.0,5.0
8.955582232893157e-08,3.0,5.0
8.979591836734694e-08,3.0,5.0
9.00360144057623e-08,4.0,5.0
9.027611044417767e-08,3.0,6.0
9.051620648259303e-08,3.0,5.0
9.07563025210084e-08,3.0,5.0
9.099639855942376e-08,2.0,5.0
9.123649459783914e-08,3.0,5.0
9.14765906362545e-08,3.0,5.0
9.171668667466987e-08,3.0,5.0
9.195678271308523e-08,3.0,5.0
9.21968787515006e-08,3.0,5.0
9.243697478991596e-08,3.0,5.0
9.267707082833133e-08,2.0,5.0
