Temps (s),CH2 (V),CH4 (V)
4.897959183673469e-09,-1.0,33.0
4.945978391356543e-09,-1.0,33.0
4.993997599039616e-09,-1.0,33.0
5.04201680672269e-09,-1.0,33.0
5.090036014405763e-09,-1.0,33.0
5.1380552220888355e-09,-1.0,33.0
5.186074429771909e-09,0.0,33.0
5.234093637454982e-09,0.0,33.0
5.282112845138056e-09,0.0,33.0
5.330132052821129e-09,0.0,33.0
5.3781512605042025e-09,0.0,33.0
5.426170468187275e-09,0.0,33.0
5.474189675870348e-09,0.0,33.0
5.522208883553422e-09,0.0,33.0
5.570228091236495e-09,0.0,33.0
5.618247298919569e-09,-1.0,33.0
5.6662665066026415e-09,0.0,33.0
5.714285714285714e-09,-1.0,33.0
5.762304921968788e-09,-1.0,33.0
5.810324129651861e-09,-1.0,33.0
5.858343337334935e-09,-1.0,33.0
5.906362545018008e-09,-1.0,33.0
5.9543817527010805e-09,-1.0,33.0
6.002400960384154e-09,-1.0,33.0
6.050420168067227e-09,-1.0,33.0
6.098439375750301e-09,-1.0,33.0
6.146458583433374e-09,-1.0,33.0
6.194477791116447e-09,-1.0,33.0
6.24249699879952e-09,-1.0,33.0
6.290516206482593e-09,-1.0,33.0
6.338535414165667e-09,-1.0,33.0
6.38655462184874e-09,-1.0,33.0
6.434573829531813e-09,-1.0,33.0
6.4825930372148865e-09,-1.0,33.0
6.5306122448979594e-09,-1.0,33.0
6.578631452581033e-09,-1.0,33.0
6.626650660264106e-09,-1.0,33.0
6.674669867947179e-09,-1.0,33.0
6.722689075630253e-09,-1.0,33.0
6.7707082833133256e-09,-1.0,33.0
6.818727490996399e-09,-1.0,33.0
6.866746698679472e-09,-1.0,33.0
6.914765906362545e-09,-1.0,33.0
6.962785114045619e-09,-1.0,33.0
7.010804321728692e-09,-1.0,33.0
7.0588235294117654e-09,-1.0,33.0
7.106842737094838e-09,-1.0,33.0
7.154861944777912e-09,-1.0,33.0
7.202881152460985e-09,-1.0,33.0
7.250900360144058e-09,-1.0,33.0
7.2989195678271316e-09,-1.0,33.0
7.3469387755102045e-09,-1.0,33.0
7.394957983193278e-09,-1.0,33.0
7.442977190876351e-09,-1.0,33.0
7.490996398559425e-09,-1.0,33.0
7.539015606242498e-09,-1.0,33.0
7.58703481392557e-09,-1.0,33.0
7.635054021608644e-09,-1.0,33.0
7.683073229291716e-09,-1.0,33.0
7.731092436974791e-09,-1.0,33.0
7.779111644657864e-09,-1.0,33.0
7.827130852340937e-09,-1.0,33.0
7.87515006002401e-09,-1.0,33.0
7.923169267707084e-09,-1.0,33.0
7.971188475390157e-09,-1.0,33.0
8.01920768307323e-09,-1.0,33.0
8.067226890756303e-09,-1.0,33.0
8.115246098439376e-09,-1.0,33.0
8.16326530612245e-09,-1.0,33.0
8.211284513805523e-09,-1.0,33.0
8.259303721488596e-09,-1.0,33.0
8.307322929171669e-09,-1.0,33.0
8.355342136854742e-09,-1.0,33.0
8.403361344537816e-09,-1.0,33.0
8.45138055222089e-09,-1.0,33.0
8.499399759903962e-09,-1.0,33.0
8.547418967587035e-09,-1.0,33.0
8.595438175270108e-09,-1.0,33.0
8.643457382953183e-09,-1.0,33.0
8.691476590636256e-09,-1.0,33.0
8.739495798319328e-09,-1.0,33.0
8.787515006002401e-09,-1.0,33.0
8.835534213685474e-09,-1.0,33.0
8.883553421368549e-09,-1.0,33.0
8.931572629051622e-09,-1.0,33.0
8.979591836734695e-09,-1.0,33.0
9.027611044417767e-09,-1.0,33.0
9.07563025210084e-09,-1.0,33.0
9.123649459783915e-09,-1.0,33.0
9.171668667466988e-09,-1.0,33.0
9.21968787515006e-09,-1.0,33.0
9.267707082833134e-09,-1.0,33.0
9.315726290516206e-09,-1.0,33.0
9.363745498199281e-09,-1.0,33.0
9.411764705882354e-09,-1.0,33.0
9.459783913565427e-09,-1.0,33.0
9.5078031212485e-09,-1.0,33.0
9.555822328931573e-09,-1.0,33.0
9.603841536614647e-09,-1.0,33.0
9.65186074429772e-09,-1.0,33.0
9.699879951980793e-09,-1.0,33.0
9.747899159663866e-09,-1.0,33.0
9.795918367346939e-09,-1.0,33.0
9.843937575030013e-09,-1.0,33.0
9.891956782713086e-09,-1.0,33.0
9.939975990396159e-09,-1.0,33.0
9.987995198079232e-09,-1.0,33.0
