Temps (s),CH2 (V),CH3 (V),CH4 (V)
4.1776710684273706e-07,62.0,-43.0,4.0
4.2016806722689076e-07,61.0,-43.0,4.0
4.225690276110444e-07,61.0,-44.0,5.0
4.2496998799519805e-07,62.0,-43.0,5.0
4.2737094837935174e-07,61.0,-42.0,5.0
4.297719087635054e-07,62.0,-43.0,5.0
4.3217286914765903e-07,62.0,-42.0,5.0
4.3457382953181273e-07,62.0,-43.0,5.0
4.369747899159664e-07,62.0,-44.0,5.0
4.3937575030012e-07,62.0,-43.0,5.0
4.417767106842737e-07,62.0,-43.0,4.0
4.4417767106842736e-07,61.0,-43.0,5.0
4.46578631452581e-07,60.0,-42.0,5.0
4.4897959183673465e-07,62.0,-41.0,5.0
4.5138055222088835e-07,63.0,-43.0,4.0
4.53781512605042e-07,62.0,-42.0,4.0
4.5618247298919564e-07,62.0,-43.0,5.0
4.5858343337334934e-07,62.0,-42.0,5.0
4.60984393757503e-07,62.0,-42.0,4.0
4.6338535414165663e-07,62.0,-42.0,5.0
4.6578631452581033e-07,61.0,-43.0,5.0
4.6818727490996397e-07,61.0,-43.0,4.0
4.705882352941176e-07,62.0,-42.0,5.0
4.729891956782713e-07,61.0,-43.0,4.0
4.7539015606242496e-07,61.0,-42.0,5.0
4.777911164465786e-07,61.0,-43.0,4.0
4.801920768307322e-07,62.0,-41.0,5.0
4.825930372148859e-07,62.0,-42.0,5.0
4.849939975990396e-07,61.0,-43.0,5.0
4.873949579831933e-07,62.0,-43.0,5.0
4.897959183673469e-07,62.0,-42.0,5.0
4.921968787515006e-07,62.0,-44.0,5.0
4.945978391356542e-07,62.0,-44.0,5.0
4.969987995198079e-07,61.0,-43.0,5.0
4.993997599039615e-07,61.0,-43.0,4.0
5.018007202881153e-07,62.0,-43.0,4.0
5.042016806722689e-07,61.0,-42.0,5.0
5.066026410564226e-07,62.0,-43.0,4.0
5.090036014405762e-07,63.0,-42.0,4.0
5.114045618247298e-07,62.0,-42.0,4.0
5.138055222088835e-07,61.0,-43.0,3.0
5.162064825930372e-07,62.0,-42.0,5.0
5.186074429771909e-07,62.0,-42.0,5.0
5.210084033613445e-07,63.0,-41.0,6.0
5.234093637454982e-07,62.0,-43.0,5.0
5.258103241296518e-07,63.0,-42.0,5.0
5.282112845138055e-07,62.0,-42.0,5.0
5.306122448979592e-07,62.0,-43.0,4.0
5.330132052821129e-07,62.0,-43.0,5.0
5.354141656662665e-07,62.0,-43.0,4.0
5.378151260504201e-07,62.0,-42.0,4.0
5.402160864345738e-07,62.0,-43.0,5.0
5.426170468187274e-07,62.0,-43.0,5.0
5.450180072028811e-07,62.0,-43.0,4.0
5.474189675870348e-07,62.0,-42.0,5.0
5.498199279711885e-07,62.0,-42.0,5.0
